Description,Price,Review,Rating,Url
"Fujitsu CH Intel Evo Core i5 11th Gen 13.3"" FHD IG",54990,147,3.9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzAwNzU1ODM0MTA0MTY2OjE2NzkwMjg3Njk6c3BfYnRmOjIwMDc5ODEyNzYyNDk4OjowOjo&url=%2FFujitsu-400Nits-Graphics-Warranty-4ZR1H03553%2Fdp%2FB09Z9JRCK1%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028769%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Apple 2020 MacBook Air Laptop M1 chip, 13.3-inch/3",85990,4296,4.7,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzAwNzU1ODM0MTA0MTY2OjE2NzkwMjg3Njk6c3BfYnRmOjIwMDY3MjU1OTc0MjAzOjowOjo&url=%2FApple-MacBook-Chip-13-inch-256GB%2Fdp%2FB08N5W4NNB%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028769%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Dell Vostro 3420 Laptop,12th Gen Intel Core i5-123",56990,7,4.3,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDU3NjczODIxNzk0MTA6MTY3OTAyODc3MjpzcF9hdGZfbmV4dDoyMDEyNjEwOTM1NDY5ODo6MDo6&url=%2FDell-Vostro-i5-1235U-35-56Cms-293420GT2FWO2MC2IN%2Fdp%2FB0BQJ7NMVM%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028772%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6""",44117,1330,4.2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDU3NjczODIxNzk0MTA6MTY3OTAyODc3MjpzcF9hdGZfbmV4dDoyMDEwNzQ0MDA2OTE5ODo6MDo6&url=%2FLenovo-Ideapad-Keyboard-Warranty-82KU017KIN%2Fdp%2FB09MM58Y7Q%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dlaptop%26qid%3D1679028772%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Acer One 14 Business Laptop AMD Athlon 3045 B Proc,20790,83,3.5,https://www.amazon.in/Acer-Business-Processor-Graphics-Z2-493/dp/B0BD7TR4ZF/ref=sr_1_19?keywords=laptop&qid=1679028772&sr=8-19
Lenovo IdeaPad Slim 3 Intel Celeron N4020 4th Gen ,25614,350,3.7,https://www.amazon.in/Lenovo-IdeaPad-Warranty-Platinum-81WQ00MQIN/dp/B09YJ1Q16L/ref=sr_1_20?keywords=laptop&qid=1679028772&sr=8-20
(Renewed) HP Chromebook C640 10th Gen Intel Core i,20999,7,3.4,https://www.amazon.in/Renewed-HP-Chromebook-Bluetooth-Graphics/dp/B0BS16RXQH/ref=sr_1_21?keywords=laptop&qid=1679028772&sr=8-21
"HP 15s, AMD Athlon Silver 3050U 8GB RAM/512GB SSD ",29990,188,3.6,https://www.amazon.in/HP-15-6-inches-Micro-Edge-Graphics-15s-eq1559AU/dp/B0B6F5TDK4/ref=sr_1_22?keywords=laptop&qid=1679028772&sr=8-22
HP 15s AMD Ryzen 3- 5300U 15.6inch,38490,1242,4.1,https://www.amazon.in/HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_23?keywords=laptop&qid=1679028772&sr=8-23
"ASUS Vivobook 14, 14.0-inch",33990,134,3.9,https://www.amazon.in/ASUS-14-0-inch-i3-1005G1-Integrated-X415JA-BV322WS/dp/B0BDRJGRXR/ref=sr_1_24?keywords=laptop&qid=1679028772&sr=8-24
