Description,Price,Review,Rating,Url
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,55990,136,4.4,https://www.flipkart.com//asus-vivobook-k15-oled-ryzen-7-octa-core-amd-r7-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l713ws-thin-light-laptop/p/itmb3a48eb017e5c?pid=COMGB6DZKZZVUQSW&lid=LSTCOMGB6DZKZZVUQSWWWGAPR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGB6DZKZZVUQSW.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U ,36900,79,4.2,https://www.flipkart.com//lenovo-ideapad-1-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15ada7-thin-light-laptop/p/itm3d18297fc081a?pid=COMGFM5BYHQPXCRZ&lid=LSTCOMGFM5BYHQPXCRZHYWG3P&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG62S5S62hP66B%2FlWXM3TgGUVc1wZHsjSiLHmKal%2F9Drfw%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
acer Aspire 7 Core i5 12th Gen ,61990,361,4.3,https://www.flipkart.com//acer-aspire-7-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-5g-a715-51g-gaming-laptop/p/itmb33526c6a57b8?pid=COMGGJZVRQHWHDVH&lid=LSTCOMGGJZVRQHWHDVHT5QLFD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGGJZVRQHWHDVH.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5,54990,199,4.4,https://www.flipkart.com//asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGFYQZZFRKBNWV.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,46990,161,4.4,https://www.flipkart.com//asus-vivobook-k15-oled-2022-ryzen-5-hexa-core-amd-r5-5500u-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-km513ua-l502ws-thin-light-laptop/p/itmbe79f1096e453?pid=COMG87FFPDWUZAKE&lid=LSTCOMG87FFPDWUZAKEIKWIHF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMG87FFPDWUZAKE.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
Lenovo IdeaPad Ryzen 5 Hexa Core 5600H ,49990,,,https://www.flipkart.com//lenovo-ideapad-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-15ach6-gaming-laptop/p/itm5b976fec95d0c?pid=COMGN2YDYPFNZPMY&lid=LSTCOMGN2YDYPFNZPMYSRVJIE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG4d3b5QXxY6pD8YS8sgA6UmlJZn5kV01OzVNEx9R6XtyQ%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
HP 15s Intel Core i5 12th Gen ,59990,172,4.2,https://www.flipkart.com//hp-15s-intel-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5111tu-thin-light-laptop/p/itmbecf654716fd5?pid=COMGG63HGDTFCCGW&lid=LSTCOMGG63HGDTFCCGWLETTA9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGG63HGDTFCCGW.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
HP Ryzen 3 Quad Core 5300U ,39790,263,4.3,https://www.flipkart.com//hp-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-14s-fq1089au-thin-light-laptop/p/itm30e084d034979?pid=COMGAY9Y7WXZYFDA&lid=LSTCOMGAY9Y7WXZYFDAYEJGOH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGAY9Y7WXZYFDA.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
HP Ryzen 9 Octa Core 6900HX ,155390,,,https://www.flipkart.com//hp-ryzen-9-octa-core-6900hx-32-gb-1-tb-ssd-windows-11-home-8-gb-graphics-amd-radeon-rx-6650m-16-n0051ax-gaming-laptop/p/itmbfdda5dfb7861?pid=COMGHGYYUFPUPPZZ&lid=LSTCOMGHGYYUFPUPPZZHA8LMI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGHGYYUFPUPPZZ.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
Lenovo IdeaPad 3 Core i3 11th Gen ,40490,457,4.3,https://www.flipkart.com//lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG6BTpKnOmWn98hvdmNXbM6RA8e7LX5u%2Bn%2FwoAnHGy5c8w%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
